净值日期,单位净值,日增长率
2017-06-23,1.0001,0.0
2017-06-30,1.0001,0.0
2017-07-07,1.0006,0.0
2017-07-10,1.0008,0.02
2017-07-11,1.0009,0.01
2017-07-12,1.0008,-0.01
2017-07-13,1.0008,0.0
2017-07-14,1.0008,0.0
2017-07-17,1.0014,0.06
2017-07-18,1.0019,0.0499
2017-07-19,1.002,0.01
2017-07-20,1.0008,-0.1198
2017-07-21,1.0007,-0.01
2017-07-24,1.0017,0.0999
2017-07-25,1.0015,-0.02
2017-07-26,1.0028,0.1298
2017-07-27,0.9998,-0.2992
2017-07-28,0.9994,-0.04
2017-07-31,0.9968,-0.2602
2017-08-01,0.997,0.0201
2017-08-02,0.9987,0.1705
2017-08-03,0.9972,-0.1502
2017-08-04,0.9972,0.0
2017-08-07,1.0002,0.3008
2017-08-08,0.9994,-0.08
2017-08-09,0.998,-0.1401
2017-08-10,0.9833,-1.4729
2017-08-11,0.9863,0.3051
2017-08-14,0.9933,0.7097
2017-08-15,0.9944,0.1107
2017-08-16,0.9962,0.181
2017-08-17,0.9838,-1.2447
2017-08-18,0.9836,-0.0203
2017-08-21,0.9827,-0.0915
2017-08-22,0.9901,0.753
2017-08-23,0.9883,-0.1818
2017-08-24,0.9856,-0.2732
2017-08-25,0.9849,-0.071
2017-08-28,0.9843,-0.0609
2017-08-29,0.9861,0.1829
2017-08-30,0.9912,0.5172
2017-08-31,0.9956,0.4439
2017-09-01,0.9945,-0.1105
2017-09-05,0.9833,0.0
2017-09-06,0.9843,0.1017
2017-09-07,0.9855,0.1219
2017-09-08,0.9764,-0.9234
2017-09-11,0.9845,0.8296
2017-09-12,0.9901,0.5688
2017-09-13,0.9925,0.2424
2017-09-14,0.9888,-0.3728
2017-09-15,0.9907,0.1922
2017-09-18,0.9895,-0.1211
2017-09-19,0.9924,0.2931
2017-09-20,0.9917,-0.0705
2017-09-21,0.9885,-0.3227
2017-09-22,0.9879,-0.0607
2017-09-25,0.9789,-0.911
2017-09-26,0.9829,0.4086
2017-09-27,0.9932,1.0479
2017-09-28,0.9938,0.0604
2017-09-29,1.0022,0.8452
2017-10-09,1.0156,1.3371
2017-10-10,1.013,-0.256
2017-10-11,1.0091,-0.385
2017-10-12,1.0068,-0.2279
2017-10-13,1.0112,0.437
2017-10-16,1.0141,0.2868
2017-10-17,1.016,0.1874
2017-10-18,1.0164,0.0394
2017-10-19,1.0145,-0.1869
2017-10-20,1.017,0.2464
2017-10-23,1.0122,-0.472
2017-10-24,1.015,0.2766
2017-10-25,1.0118,-0.3153
2017-10-26,1.0086,-0.3163
2017-10-27,1.0391,3.024
2017-10-30,1.0415,0.231
2017-10-31,1.0434,0.1824
2017-11-01,1.0417,-0.1629
2017-11-02,1.0378,-0.3744
2017-11-03,1.0448,0.6745
2017-11-06,1.051,0.5934
2017-11-07,1.0516,0.0571
2017-11-08,1.0565,0.466
2017-11-09,1.052,-0.4259
2017-11-10,1.0512,-0.076
2017-11-13,1.0533,0.1998
2017-11-14,1.0505,-0.2658
2017-11-15,1.0431,-0.7044
2017-11-16,1.0564,1.275
2017-11-17,1.0524,-0.3786
2017-11-20,1.0512,-0.114
